Season,Episode,Title,Director,Writers,Aired,us_viewers
1,1,"""Encounter at Farpoint""",Corey Allen,D. C. Fontana & Gene Roddenberry,"September 28, 1987",15.7
1,2,"""Encounter at Farpoint""",Corey Allen,D. C. Fontana & Gene Roddenberry,"September 28, 1987",15.7
1,3,"""The Naked Now""",Paul Lynch,Story by?: John D. F. Black & D. C. Fontana[a],"October 5, 1987",11.5
1,4,"""Code of Honor""",Russ Mayberry,Katharyn Powers & Michael Baron,"October 12, 1987",9.5
1,5,"""The Last Outpost""",Richard Colla,Story by?: Richard Krzmeien,"October 19, 1987",8.9
1,6,"""Where No One Has Gone Before""",Rob Bowman,Diane Duane & Michael Reaves,"October 26, 1987",10.5
1,7,"""Lonely Among Us""",Cliff Bole,Story by?: Michael Halperin,"November 2, 1987",12.1
1,8,"""Justice""",James L. Conway,Story by?: John D. F. Black[b] & Worley Thorne,"November 9, 1987",12.7
1,9,"""The Battle""",Rob Bowman,Story by?: Larry Forrester,"November 16, 1987",10.5
1,10,"""Hide and Q""",Cliff Bole,Story by?: Maurice Hurley[c],"November 23, 1987",11
1,11,"""Haven""",Richard Compton,Story by?: Tracy Tormé & Lan O'Kun,"November 30, 1987",10.3
1,12,"""The Big Goodbye""",Joseph L. Scanlan,Tracy Tormé,"January 11, 1988",11.5
1,13,"""Datalore""",Rob Bowman,Story by?: Robert Lewin & Maurice Hurley,"January 18, 1988",10.3
1,14,"""Angel One""",Michael Rhoades,Patrick Barry,"January 25, 1988",11.4
1,15,"""11001001""",Paul Lynch,Maurice Hurley & Robert Lewin,"February 1, 1988",10.7
1,16,"""Too Short a Season""",Rob Bowman,Story by?: Michael Michaelian,"February 8, 1988",10.9
1,17,"""When the Bough Breaks""",Kim Manners,Hannah Louise Shearer,"February 15, 1988",10.2
1,18,"""Home Soil""",Corey Allen,Story by?: Karl Geurs and Ralph Sanchez & Robert Sabaroff,"February 22, 1988",9
1,19,"""Coming of Age""",Mike Vejar,Sandy Fries,"March 14, 1988",10.1
1,20,"""Heart of Glory""",Rob Bowman,Story by?: Maurice Hurley & Herbert Wright & D. C. Fontana,"March 21, 1988",10.7
1,21,"""The Arsenal of Freedom""",Les Landau,Story by?: Maurice Hurley & Robert Lewin,"April 11, 1988",10.4
1,22,"""Symbiosis""",Win Phelps,Story by?: Robert Lewin,"April 18, 1988",10.8
1,23,"""Skin of Evil""",Joseph L. Scanlan,Story by?: Joseph Stefano,"April 25, 1988",9.7
1,24,"""We'll Always Have Paris""",Robert Becker,Deborah Dean Davis & Hannah Louise Shearer,"May 2, 1988",9.7
1,25,"""Conspiracy""",Cliff Bole,Story by?: Robert Sabaroff,"May 9, 1988",9.4
1,26,"""The Neutral Zone""",James L. Conway,Story by?: Deborah McIntyre & Mona Clee,"May 16, 1988",10.2
2,1,"""The Child""",Rob Bowman,Jaron Summers & Jon Povill & Maurice Hurley,"November 21, 1988",10.9
2,2,"""Where Silence Has Lease""",Winrich Kolbe,Jack B. Sowards,"November 28, 1988",10.3
2,3,"""Elementary, Dear Data""",Rob Bowman,Brian Alan Lane,"December 5, 1988",Unknown
2,4,"""The Outrageous Okona""",Robert Becker,Story by?: Les Menchen & Lance Dickson & David Landsberg,"December 12, 1988",Unknown
2,5,"""Loud as a Whisper""",Larry Shaw,Jacqueline Zambrano,"January 9, 1989",10.7
2,6,"""The Schizoid Man""",Les Landau,Story by?: Richard Manning & Hans Beimler,"January 23, 1989",10.8
2,7,"""Unnatural Selection""",Paul Lynch,John Mason & Mike Gray,"January 30, 1989",11
2,8,"""A Matter of Honor""",Rob Bowman,Story by?: Wanda M. Haight & Gregory Amos & Burton Armus,"February 6, 1989",11.3
2,9,"""The Measure of a Man""",Robert Scheerer,Melinda M. Snodgrass,"February 13, 1989",11.3
2,10,"""The Dauphin""",Rob Bowman,Scott Rubenstein & Leonard Mlodinow,"February 20, 1989",10.7
2,11,"""Contagion""",Joseph L. Scanlan,Steve Gerber & Beth Woods,"March 20, 1989",10.2
2,12,"""The Royale""",Cliff Bole,Tracy Tormé[a],"March 27, 1989",10.6
2,13,"""Time Squared""",Joseph L. Scanlan,Story by?: Kurt Michael Bensmiller,"April 3, 1989",9.9
2,14,"""The Icarus Factor""",Robert Iscove,Story by?: David Assael,"April 24, 1989",9.1
2,15,"""Pen Pals""",Winrich Kolbe,Story by?: Hannah Louise Shearer,"May 1, 1989",9.7
2,16,"""Q Who""",Rob Bowman,Maurice Hurley,"May 8, 1989",10.3
